Unnamed: 0,0,fruta,percent,label_encoded
7491,Apple/Total Number of Apples/Apple 01463.png,Apple,15.855196949724313,0
55445,Peach/Peach0092.png,Peach,3.726382333347507,7
48975,muskmelon/Muskmelon 00931.png,muskmelon,2.945387024989015,14
27743,Guava/Guava total/Guava。2200 resized.png,Guava,27.92164533458066,3
54259,Peach/Peach001990.png,Peach,3.726382333347507,7
54897,Peach/Peach00515.png,Peach,3.726382333347507,7
9194,Apple/Total Number of Apples/Apple 01859.png,Apple,15.855196949724313,0
32131,Guava/Guava total/Guava。113 resized.jpg,Guava,27.92164533458066,3
63902,Pitaya/Pitaya001832.png,Pitaya,3.544953296197077,10
12604,Banana/Banana0388.png,Banana,4.2905132457371264,1
27788,Guava/Guava total/1Guava。2751.png,Guava,27.92164533458066,3
45517,Mango/Mango003627.png,Mango,5.887939221272555,5
3937,Apple/Apple A/Apple 24.png,Apple,15.855196949724313,0
13479,Banana/Banana01383.png,Banana,4.2905132457371264,1
61542,Pitaya/Pitaya001396.png,Pitaya,3.544953296197077,10
18285,Guava/guava total final/Guava01484.png,Guava,27.92164533458066,3
15452,Carambola/Carambola 00461.png,Carambola,2.9482218536944904,2
6164,Apple/Total Number of Apples/Apple 0518.png,Apple,15.855196949724313,0
48281,Mango/Mango003567.png,Mango,5.887939221272555,5
43603,Kiwi/Kiwi B/Kiwi B00961.png,Kiwi,11.998412495924937,4
13573,Banana/Banana02066.png,Banana,4.2905132457371264,1
7644,Apple/Total Number of Apples/Apple 0988.png,Apple,15.855196949724313,0
27052,Guava/Guava total/Guava。1701 resized resized.png,Guava,27.92164533458066,3
10582,Apple/Total Number of Apples/Apple 03185.png,Apple,15.855196949724313,0
29828,Guava/Guava total/1Guava。3107 resized.jpg,Guava,27.92164533458066,3
64389,Plum/Plum。543.png,Plum,3.257218182591317,11
26583,Guava/Guava total/Guava。422 resized.png,Guava,27.92164533458066,3
55676,Peach/Peach001143.png,Peach,3.726382333347507,7
38588,Kiwi/Total Number of Kiwi fruit/Kiwi004084.png,Kiwi,11.998412495924937,4
48212,Mango/Mango002308.png,Mango,5.887939221272555,5
56145,Peach/Peach00346.png,Peach,3.726382333347507,7
11287,Banana/Banana01016.png,Banana,4.2905132457371264,1
33533,Guava/Guava total/Guava。2244 resized resized.png,Guava,27.92164533458066,3
69549,Tomatoes/Tamotoes00959.png,Tomatoes,3.077206559793624,13
44260,Kiwi/Kiwi B/Kiwi B00987.png,Kiwi,11.998412495924937,4
42455,Kiwi/Kiwi C/Kiwi C00839.png,Kiwi,11.998412495924937,4
44699,Mango/Mango00150.png,Mango,5.887939221272555,5
32648,Guava/Guava total/Guava。443 resized resized.png,Guava,27.92164533458066,3
37750,Kiwi/kiwi A/Kiwi A00915.png,Kiwi,11.998412495924937,4
37469,Kiwi/kiwi A/Kiwi A001889.png,Kiwi,11.998412495924937,4
1829,Apple/Apple C/ne02221.png,Apple,15.855196949724313,0
3913,Apple/Apple A/Apple 458.png,Apple,15.855196949724313,0
