id_compra,tiempo_recogida,coste_inicial,id_proveedor,id_lote
1,433,2.642048011224653,1,1
2,252,1.7022962977149207,2,2
3,442,1.176703363717762,3,3
4,647,2.3146926180743925,4,4
5,418,2.4735410030000056,5,5
6,180,1.056429040567418,6,6
7,437,1.7701757217845215,7,7
8,422,1.8737135204128943,8,8
9,637,2.1967539882113143,9,9
10,285,1.5976919553600397,10,10
11,125,2.338848138885735,11,11
12,317,2.6013991399096237,1,12
13,410,1.4194267406871663,12,13
14,292,2.9739219093002736,13,14
15,368,1.8920316649537579,14,15
16,83,2.029022407663526,15,16
17,521,2.2343258432874658,14,17
18,33,0.673491871066707,2,18
19,498,1.8288584207228495,16,19
20,453,2.1494206014404065,17,20
21,629,2.4053424510672303,4,21
22,595,2.105131970038597,5,22
23,570,1.7612398396185873,5,23
24,539,2.1636899252635815,17,24
25,187,1.8344793710473895,2,25
26,240,1.3753889904460896,16,26
27,41,1.6506763560881765,18,27
28,301,2.908390702459411,8,28
29,653,2.3949996844601515,14,29
30,40,2.1152327555548323,19,30
31,568,1.9295269010830622,11,31
32,76,1.452560401764463,20,32
33,448,2.4407898143885975,17,33
34,397,1.8905306145744936,21,34
35,157,1.8352471600880755,22,35
36,635,2.23361321657689,23,36
37,719,2.7242852718430273,24,37
38,278,2.1423583672624398,25,38
39,421,1.6068453116698613,26,39
40,29,1.8397330805081893,6,40
41,385,1.877268080546478,23,41
42,217,,5,42
43,304,2.241599368446958,27,43
44,54,2.251871831459211,28,44
45,376,2.17453113455124,24,45
46,576,1.5416036454594677,15,46
47,382,1.5622649709314984,29,47
48,453,1.555342797421914,11,48
49,167,2.127291237965534,20,49
50,682,2.2796765917329975,23,50
51,292,2.501633390864062,16,51
52,88,2.3699923079024843,16,52
53,116,1.2758487409674781,19,53
54,436,2.221516942858635,19,54
55,188,1.5858066202436774,7,55
56,549,1.0083496935793261,30,56
57,430,1.11561407712394,14,57
58,363,2.42415729146599,10,58
59,378,2.4189079072753716,17,59
60,306,1.457885123468103,31,60
61,29,1.7094801333654102,12,61
62,656,2.8889388957447286,25,62
63,710,1.3017696653720479,26,63
64,482,2.1189417875761833,9,64
65,469,2.6408078487364506,25,65
66,104,2.4623166251652875,4,66
67,240,1.146032257772771,31,67
68,39,2.088001516233952,19,68
69,345,1.730232885271129,29,69
70,162,1.44332553136206,32,70
71,690,1.3389186807028879,9,71
72,93,2.421930359445643,14,72
73,525,1.6480210939029405,29,73
74,586,1.7759079900466965,4,74
75,374,2.274729726858185,17,75
76,486,2.1613783303259355,21,76
77,451,1.349222226470429,13,77
78,404,2.177829163169748,18,78
79,320,1.4335292254110024,23,79
80,212,2.2579611247031375,26,80
81,496,1.5557046874648321,16,81
82,500,2.082280601887642,10,82
83,160,1.472406234678851,31,83
84,332,2.105864474503937,9,84
85,441,1.226794192755663,25,85
86,541,1.0020138861620698,9,86
87,627,1.689862963255454,18,87
88,155,1.0573675638572346,13,88
89,26,2.34798241014083,9,89
90,339,2.1703581571577177,14,90
91,578,2.9967768658708818,32,91
92,427,2.0027524992434578,33,92
93,562,2.652143241488006,33,93
94,633,1.2165926586154614,25,94
95,607,1.656755736347562,30,95
96,591,2.479575303732223,28,96
97,662,2.1595380009776166,14,97
98,50,1.5211791848081786,21,98
99,545,2.1310332787928368,3,99
100,498,2.1605054170286366,22,100
101,420,,8,101
102,100,1.862609887097475,16,102
103,318,2.35152346559378,22,103
104,64,2.104824904784124,34,104
105,62,1.793656140786428,9,105
106,590,1.5609465219554401,5,106
107,627,1.8152594337412755,21,107
108,304,2.0916176991901163,13,108
109,30,2.02342179440744,22,109
110,493,1.7812602621234443,13,110
111,664,1.083063160540699,5,111
112,103,2.5001300034063556,9,112
113,539,1.5965286259157336,31,113
114,405,1.9646395260192868,13,114
115,103,1.4498683183522476,35,115
116,408,1.535704858092654,6,116
117,516,2.272125890326554,4,117
118,527,1.7816088519866915,21,118
119,240,1.5992008869568712,1,119
120,438,1.2460179201120856,23,120
121,400,2.470867769540573,2,121
122,171,2.378865505993751,2,122
123,406,2.3387277741256716,31,123
124,596,,18,124
125,675,1.77487883980315,15,125
126,40,2.3634464706490523,21,126
127,568,1.5603771304581244,33,127
128,138,1.3488632061878936,12,128
129,35,2.161600995655573,11,129
130,27,1.3996541693187785,31,130
131,711,2.1316673918424045,16,131
132,447,2.5138736001063253,32,132
133,482,2.510845629856469,29,133
134,625,2.2685630039053253,13,134
135,648,1.786535456681752,23,135
136,499,1.5970091917635107,4,136
137,465,1.8128904725930322,26,137
138,233,2.1734105642520234,23,138
139,32,1.539222407543114,4,139
140,347,1.982170111091038,12,140
141,2,1.598072316926062,11,141
142,272,1.655429356986962,11,142
143,112,2.2585886922570286,30,143
144,489,1.8774113365357123,14,144
145,39,2.010632336719766,6,145
146,626,1.6964227531602711,33,146
