id_venta,tiempo_venta,precio_venta,peso,id_cliente,id_lote
1,437.0,4.909680048977395,264.1953566271329,1,1
2,259.0,3.4251031567521197,141.6473268898563,1,2
3,388.0,3.468745758352403,516.1676698744507,1,41
4,484.0,4.345631664004423,267.66578034130714,1,133
5,638.0,3.7097161792257465,326.36959930383324,1,229
6,194.0,1.727206698200853,316.9338191088534,1,262
7,547.0,3.7689373817426164,197.3128901683246,1,277
8,716.0,2.887518270552375,429.89171095958056,1,295
9,444.0,3.356964373992952,371.1009671437379,1,349
10,449.0,3.607752731215317,104.07494064449193,1,364
11,541.0,4.030532367634575,399.8687602604564,1,372
12,-8.0,3.7519635278073586,274.31420906559043,1,393
13,312.0,3.4360039078091216,293.25415059649373,1,403
14,33.0,2.8283738021351033,321.41990256220595,1,429
15,502.0,3.928591395239496,333.12044401000423,1,456
16,283.0,4.137694981261479,306.24922169054656,1,529
17,-1.0,3.435085459339851,253.45062610913305,1,682
18,717.0,4.545033244939797,214.29994745676302,1,692
19,583.0,3.938331561327437,233.0778063142975,1,764
20,343.0,3.1720344442724007,73.47879249304094,1,799
21,43.0,3.5137933879041046,456.7139662935932,1,913
22,182.0,4.293757276235366,284.50454818415557,1,921
23,234.0,4.05643110164778,389.1545570734654,1,953
24,618.0,3.5671868344415123,342.7319355816395,1,985
25,607.0,3.571755650333448,290.2468155212962,1,1005
26,659.0,3.6441416658284096,192.06428713831332,1,1044
27,31.0,3.0351631210578383,434.8732977932,1,1070
28,311.0,4.610854292794564,110.73729434912013,1,1071
29,717.0,3.2868657410313054,322.5938655085454,1,1100
30,23.0,3.2373964210697093,310.6478175766924,1,1104
31,481.0,3.6393886880265653,284.5193740283293,1,1139
32,396.0,3.522354868317866,339.3444475004095,1,1169
33,207.0,3.4879016064299297,402.280050608887,1,1208
34,440.0,3.428012267407196,266.2059404284093,1,1213
35,12.0,3.9692032093919187,599.592153036523,1,1222
36,531.0,4.371595262294437,246.76291328420285,1,1239
37,540.0,3.294942889693092,328.4335041714622,1,1246
38,282.0,4.080475786226074,328.94633166655865,1,1248
39,326.0,4.331965587820148,209.3123343213924,1,1375
40,379.0,2.8757100565869793,148.17912752149203,1,1441
41,513.0,4.333062196566331,421.1790814660601,1,1525
42,417.0,4.056889153484431,303.4063714653041,1,1550
43,723.0,4.3254816532773965,305.2139127872043,1,1555
44,543.0,4.464101668215285,139.70498512954902,1,1611
45,166.0,3.6175104261365636,266.71197831171696,1,1649
46,36.0,4.165271182173064,366.4438887364694,1,1678
47,330.0,2.5756507801193806,298.33276941565407,1,1729
48,84.0,3.8208265969976436,444.1929393527823,1,1738
49,49.0,4.49943182754512,398.20384838557294,1,1782
50,291.0,3.0741176340194025,440.14076781934796,1,1799
51,138.0,5.235865913893143,227.83976095276535,1,1804
52,536.0,3.3813872997587877,380.81849096252637,1,1807
53,591.0,3.9299628633986674,299.5004463488386,1,1837
54,247.0,2.0211726059227066,326.248672104627,1,1297
55,394.0,4.810688219547691,273.4674704169852,1,2000
56,93.0,4.744500075259096,265.9303541330995,1,2043
57,154.0,2.8192899847735142,247.33198502647483,1,1360
58,649.0,2.921774243870699,266.10218063284503,1,2141
59,220.0,2.9889945137914697,334.4943844246656,1,2179
60,183.0,3.791963630187391,314.9768524091544,1,2183
61,641.0,1.9936864529505285,294.6087449869557,1,2228
62,511.0,4.389238110282732,176.52795427465838,1,2330
63,214.0,3.493025226022307,156.09263806680949,1,2353
64,254.0,3.2740767534530226,266.0706296377971,1,2503
65,305.0,2.2141835664014335,400.12313567662505,1,2573
66,355.0,4.4095948581846525,104.63246601063662,1,2583
67,31.0,4.013842484116189,255.24037033284029,1,2602
68,316.0,3.4075689438664973,207.97207046991443,1,2603
69,689.0,3.709918131728197,408.1085419575666,1,2654
